,Central,East,South,SouthWest,NorthWest
2030-03-14 16:00:00,6297.785208882877,4321.458298056774,504.80686620329845,3931.028025094804,1133.6829434108456
2030-03-14 17:00:00,6485.345658265059,4435.722570063047,538.4095330160794,4074.504972616617,1194.5652871556365
2030-03-14 18:00:00,6391.899586251574,4522.649022238941,561.0105610976871,4088.295074814703,1248.5188027565025
2030-03-14 19:00:00,6372.093856975464,4552.019345087731,568.087444784291,4098.481440923245,1239.493831112961
2030-03-14 20:00:00,6431.731592839511,4478.961397856918,553.9658307109449,4189.159614524476,1224.5758289761084
2030-03-14 21:00:00,6092.350102401199,4224.47457129289,533.490742032904,3993.599213907892,1189.4383560018216
2030-03-14 22:00:00,5919.249705616277,3991.0141556671433,481.5147443992181,3832.015939000765,1082.805527955569
2030-03-14 23:00:00,5488.839153328987,3711.9440183716274,430.7474749481797,3679.025348661773,937.8580855611484
2030-03-15 00:00:00,5260.2812731586455,3607.6011881041,416.68611538466064,3589.877125014035,829.4060910091209
2030-03-15 01:00:00,5116.818864340422,3522.7272422249234,409.3821964239999,3465.8631663417445,783.8082173461315
2030-03-15 02:00:00,5063.804539245484,3474.877058263004,398.1848909375303,3417.960758054029,765.9816290413371
2030-03-15 03:00:00,4983.174392808026,3567.025697931803,402.06335786815936,3464.450684429916,768.3104438506734
2030-03-15 04:00:00,5008.736886597527,3635.026640632942,406.1973695877164,3472.347917617526,768.415945739249
2030-03-15 05:00:00,5180.597476139789,3981.4781598466375,442.7875332963381,3554.604728714547,819.0666660335391
2030-03-15 06:00:00,5423.91226175304,4189.8533916257975,476.369864827329,3825.940097387387,953.3820202239076
2030-03-15 07:00:00,5647.995729672559,4117.142819438692,486.65550110821846,3871.621209603936,1090.91566418814
2030-03-15 08:00:00,6083.161544022299,4195.642995509985,489.3462593366796,3903.056820570298,1153.0012079936837
2030-03-15 09:00:00,6089.299050074977,4198.978071730504,474.4119446194957,3897.973775500792,1175.7319084909827
2030-03-15 10:00:00,6268.5797571856,4140.122121016967,488.7227795173437,3935.468459148999,1168.768986651418
2030-03-15 11:00:00,6252.269757332461,4092.3105151836335,483.1088849617817,3854.224136056195,1143.4577457533474
2030-03-15 12:00:00,5961.684456382527,4014.566473502927,479.36150083647567,3807.9863404079,1118.6643710832425
2030-03-15 13:00:00,6204.261763841727,4052.445082479992,472.92631728003306,3785.8848694761673,1116.3986765934756
2030-03-15 14:00:00,6260.73817398678,4080.5479212928217,485.8878437164307,3702.124197433773,1096.2893237510405
2030-03-15 15:00:00,6223.995872166406,4212.120630462055,489.50586912493526,3831.03003467736,1111.1824499902789
2030-03-15 16:00:00,6313.696405679538,4312.983549811657,507.6641362116276,3905.697880970141,1149.124837331277
2030-03-15 17:00:00,6365.990767903074,4428.402185579155,544.7430241588202,4107.591467968306,1209.7283121756514
2030-03-15 18:00:00,6364.786339606342,4518.266658102225,564.0182146611742,4050.040585168773,1255.6442210890016
2030-03-15 19:00:00,6361.84696592351,4559.3905165256,579.1432079784624,4121.310892275204,1227.378163097782
2030-03-15 20:00:00,6368.4087691518125,4531.525947721188,567.8777346495264,4085.9228218481385,1231.9736315221771
2030-03-15 21:00:00,6173.840214822091,4293.136005333498,532.2538708266272,3894.8823320298407,1183.7135130092406
2030-03-15 22:00:00,5928.111181424354,3942.466002370929,481.745515113239,3786.0973536712927,1074.3759422952855
2030-03-15 23:00:00,5433.873100443203,3745.464609429053,440.0584000686556,3620.1360212218574,926.8316016255684
2030-03-16 00:00:00,5146.505085928625,3551.87452061793,415.7342925779326,3469.7898173972067,821.0842429061576
2030-03-16 01:00:00,5102.621797351398,3547.2344377799045,399.8886032346096,3466.697418515146,781.0913267449198
2030-03-16 02:00:00,5077.771492952315,3435.593933662766,394.5425704328656,3387.596612500864,753.7408221024267
2030-03-16 03:00:00,5000.361240577366,3456.1272126227623,403.1331669088727,3453.0920668146164,767.762988619896
2030-03-16 04:00:00,4936.501640394813,3681.958342323149,406.8176045166044,3527.8319220911994,775.2370153390675
2030-03-16 05:00:00,5116.964028839868,3904.516932155064,440.17444342855913,3523.02355167098,809.8520021540321
2030-03-16 06:00:00,5411.300646870942,4126.177751630106,485.5607558542839,3760.284870543089,958.6061989557404
2030-03-16 07:00:00,5569.106072627932,4144.486993643267,491.6037104231201,3883.246591542214,1095.840747884943
2030-03-16 08:00:00,5955.628582505334,4178.56043952344,493.07183455031,3803.593273670504,1150.988490566108
2030-03-16 09:00:00,6159.354376293345,4271.968276099828,475.52921068486455,3848.025768324241,1150.0117790237275
2030-03-16 10:00:00,6291.129027023513,4214.289535005906,486.1795460113621,3820.970239166615,1160.388988297921
2030-03-16 11:00:00,6094.978597853618,4068.0238007168937,476.4398468688952,3782.734002008938,1136.9866647104325
2030-03-16 12:00:00,6052.732595286996,4022.551552664493,469.46748189506144,3788.467607638736,1084.2825894041823
2030-03-16 13:00:00,6024.385003135641,4088.6130070630943,479.9438019636462,3809.130585492958,1089.592511907758
2030-03-16 14:00:00,6250.0014213219465,4026.1728592153577,481.0892224227045,3780.254193153202,1103.9845252278735
2030-03-16 15:00:00,6241.070119965406,4209.478381662,488.2356742646284,3794.88166954203,1114.6881012140634
2030-03-16 16:00:00,6176.11955047475,4405.985260740435,490.56975867718427,3913.076060617393,1148.4528293772353
2030-03-16 17:00:00,6363.402749056702,4423.9394200854695,535.6632392962163,4002.8812400523097,1185.8593967166496
2030-03-16 18:00:00,6320.114564455301,4526.965968833706,554.9616144315266,4068.986256817378,1228.0238409861124
2030-03-16 19:00:00,6373.694920090241,4546.628278756654,573.6873934153805,4147.522731662104,1228.3954404859344
2030-03-16 20:00:00,6329.2907025642,4471.05468888134,569.492410057066,4125.615980859901,1236.8774809993636
2030-03-16 21:00:00,6159.35169822275,4254.697759060859,535.7710069610101,3945.0385425608097,1185.615828753393
2030-03-16 22:00:00,5855.203405001169,4004.81316928201,488.5412409169971,3774.121985855598,1050.8583599827998
2030-03-16 23:00:00,5417.262980090499,3637.854193754749,446.0487961695633,3645.8964762931846,924.9264855272748
2030-03-17 00:00:00,4967.106192292505,3566.1494830926617,414.4042903462928,3495.4665422246712,832.7687350438714
2030-03-17 01:00:00,4911.762247743113,3436.115497294509,404.19533291180255,3472.869261677793,769.028898725441
2030-03-17 02:00:00,4842.67862450984,3450.1202822671967,397.56966414457526,3427.4031351903905,747.7394606129355
2030-03-17 03:00:00,4780.91936582175,3486.1012032641543,392.75797464432975,3381.977536056509,754.4232602047254
2030-03-17 04:00:00,4873.66761309005,3692.8942515497256,407.7007264330072,3484.891606201493,755.238257242433
2030-03-17 05:00:00,4980.844741111256,3895.560300370359,435.7571762028524,3498.679283577929,806.9265548816531
2030-03-17 06:00:00,5157.121781560281,4169.016675953652,475.7397270111475,3803.4681920135695,931.062171301904
2030-03-17 07:00:00,5367.835532777687,4147.03137575957,489.2060807192952,3761.0928763573975,1080.367905905935
2030-03-17 08:00:00,5780.161181368812,4236.3100700683935,489.46258080193184,3789.326609073807,1130.886126170337
2030-03-17 09:00:00,5956.766676861206,4108.304420545384,484.3874426008806,3854.6905112158647,1143.5215882555926
2030-03-17 10:00:00,5921.514173128693,4157.868041993773,490.6055946311628,3878.510373075885,1138.0468910608454
